Membership No  Date Joined  Active  
    44540      2016-7-20    yes   
    39001      2018-4-15    yes   
    33333      2019-1-4     yes   
    72517      2020-10-11   yes   
    54946      2019-3-20    yes   
    94939      2017-12-21   yes   
    98066      2015-7-17    yes   
    79818      2016-11-14   yes   
    48469      2016-9-19    yes   
    81265      2019-3-16    yes   
    29046      2017-12-15   yes   
    24609      2020-11-9    yes   
    53766      2019-3-6     yes   
    11636      2017-7-24    yes   
    59186      2016-9-17    yes   
